regime,task_id,kv_caching,ratio,config_label,n_mc_samples,H_seq,H_seq_se,varentropy_seq,mean_length,confidence,greedy_length,cache_seq_length,kl_seq,kl_seq_se,n_kl_samples,gold,predicted_answer
sampled,0,full,,full,50,22.14957046508789,5.840505240545868,1705.5750732421875,13.5,0.32069884702960666,4,4989,,,0,Other location,Type: Other location
sampled,0,compressed,0.25,compressed@0.25,50,12.45075511932373,3.940472588250044,776.3662109375,12.699999809265137,0.5068481757313517,4,3741,6.317156791687012,1.3071523077903808,50,Other location,Type: Other location
sampled,0,compressed,0.5,compressed@0.5,50,23.252532958984375,5.026552057418435,1263.311279296875,20.03999900817871,0.447417596836947,4,2494,8.209549903869629,2.3331388701285416,50,Other location,Type: Other location
sampled,0,compressed,0.75,compressed@0.75,50,30.460012435913086,5.257752367783928,1382.197998046875,22.559999465942383,0.3922436802608778,3,1247,10.441227912902832,2.6900004265653705,50,Other location,Type: Location
sampled,0,compressed,0.95,compressed@0.95,50,54.62722396850586,5.8539818930285605,1713.4552001953125,36.939998626708984,0.358784734417047,62,249,18.14070701599121,3.3820815102236783,50,Other location,"Type: Location

Category: Geography

Subcategory: Places

Specific Topic: Golf courses in the United States

This question is asking for a specific location, which is the first golf course in the United States. The answer would be a city or state, and it would be a factual piece of information."
sampled,1,full,,full,50,7.576243877410889,3.0764891949430866,473.2392883300781,6.739999771118164,0.4587970966421066,3,10228,,,0,Individual,Type: Individual
sampled,1,compressed,0.25,compressed@0.25,50,8.480295181274414,2.9328192636110075,430.0714416503906,8.5,0.5008040766346222,3,7671,1.9080480337142944,0.6765046480389912,50,Individual,Type: Individual
sampled,1,compressed,0.5,compressed@0.5,50,26.774301528930664,5.800048827919468,1682.0283203125,16.579999923706055,0.3264976806997396,3,5114,3.1943953037261963,0.9595183324449051,50,Individual,Type: Individual
sampled,1,compressed,0.75,compressed@0.75,50,35.5386848449707,6.878368847903731,2365.597900390625,21.719999313354492,0.32169837817619173,3,2557,4.453063011169434,1.154786209202744,50,Individual,Type: Individual
sampled,1,compressed,0.95,compressed@0.95,50,58.98992919921875,6.691131461447682,2238.56201171875,31.559999465942383,0.27373732263309103,26,511,14.688715934753418,1.471788381955696,50,Individual,"Type: Person's title 

This question is asking for the name of John F. Kennedy's wife, which is Jacqueline Kennedy."
sampled,2,full,,full,50,15.231443405151367,4.272472897304689,912.7012329101562,10.279999732971191,0.3580770692691723,3,5510,,,0,Color,Type: Color
sampled,2,compressed,0.25,compressed@0.25,50,36.65993118286133,7.0198483946859564,2463.91357421875,20.399999618530273,0.2877613047945227,3,4132,5.555192947387695,2.080414035377033,50,Color,Type: Color
sampled,2,compressed,0.5,compressed@0.5,50,28.19867706298828,5.35847204492568,1435.6611328125,19.979999542236328,0.3759609602395749,3,2755,5.935662746429443,1.9063127551145693,50,Color,Type: Color
sampled,2,compressed,0.75,compressed@0.75,50,44.18453598022461,7.927205122531364,3142.029052734375,26.299999237060547,0.3120782172435801,5,1377,10.120649337768555,3.156907902502512,50,Color,Type: Definition of something
sampled,2,compressed,0.95,compressed@0.95,50,37.59867858886719,5.5366296226246705,1532.71337890625,24.399999618530273,0.34366397234383633,3,275,13.407590866088867,4.118111850696111,50,Color,Type: Color
sampled,3,full,,full,50,11.075373649597168,3.823539504922517,730.9727172851562,9.84000015258789,0.4583285024775402,3,8007,,,0,Date,Type: Date
sampled,3,compressed,0.25,compressed@0.25,50,19.757396697998047,5.001167588283135,1250.5838623046875,16.979999542236328,0.44640690726391813,3,6005,2.3665192127227783,0.8873047949799077,50,Date,Type: Date
sampled,3,compressed,0.5,compressed@0.5,50,40.93330383300781,5.5570087888798145,1544.017333984375,27.68000030517578,0.3587860450605264,38,4003,5.516394138336182,0.9895057492544533,50,Date,"Type: Event

This question is asking for a specific historical event, which is the assassination of President John F. Kennedy. The correct answer would be November 22, 1963."
sampled,3,compressed,0.75,compressed@0.75,50,33.247615814208984,5.106517262742534,1303.825927734375,25.899999618530273,0.4107431006753807,42,2001,7.333673477172852,1.1913467582482742,50,Date,"Type: Event

This question is asking for a specific historical event, which is the assassination of President John F. Kennedy. The answer would be a date, which is November 22, 1963."
sampled,3,compressed,0.95,compressed@0.95,50,49.42184066772461,6.461803335273366,2087.7451171875,36.7599983215332,0.39380512168809173,41,400,14.792765617370605,1.3817791645802049,50,Date,"Type: Historical Event

This question is about a specific event in history, the assassination of President John F. Kennedy. The answer would be a date, which is November 22, 1963."
sampled,4,full,,full,50,14.332975387573242,5.399813500468674,1457.8992919921875,9.279999732971191,0.3428140855297182,4,7155,,,0,Currency name,Type: Other entity
sampled,4,compressed,0.25,compressed@0.25,50,28.38413429260254,7.657785560297442,2932.083984375,16.100000381469727,0.2946369614675719,3,5366,5.238837242126465,1.4801732266061696,50,Currency name,Type: Currency
sampled,4,compressed,0.5,compressed@0.5,50,27.416053771972656,6.295900785369696,1981.9183349609375,17.15999984741211,0.3304096779611891,3,3577,5.53441047668457,1.862927934269399,50,Currency name,Type: Currency
sampled,4,compressed,0.75,compressed@0.75,50,35.6357421875,5.428299957600676,1473.322021484375,22.479999542236328,0.3332738702802751,3,1788,6.9474921226501465,1.8084208711921241,50,Currency name,Type: Currency
sampled,4,compressed,0.95,compressed@0.95,50,52.20648193359375,7.325803536878224,2683.369873046875,29.760000228881836,0.29642724190498815,18,357,28.42994499206543,2.2439141598635044,50,Currency name,"Type: Equivalent term 

Answer: The currency used in Argentina is the Argentine Peso."
sampled,5,full,,full,50,20.637313842773438,6.51081582109723,2119.5361328125,13.559999465942383,0.348220763846804,5,11097,,,0,Definition of something,Type: Definition of something
sampled,5,compressed,0.25,compressed@0.25,50,11.088751792907715,4.0832244817017775,833.6361083984375,12.399999618530273,0.5380252525170629,5,8322,5.270223140716553,1.127658703243573,50,Definition of something,Type: Definition of something
sampled,5,compressed,0.5,compressed@0.5,50,15.655309677124023,4.713778424072349,1110.9853515625,16.719999313354492,0.5225632630747273,5,5548,6.410824298858643,1.289131804481672,50,Definition of something,Type: Definition of something
