regime,task_id,kv_caching,ratio,config_label,n_mc_samples,H_seq,H_seq_se,varentropy_seq,mean_length,confidence,greedy_length,cache_seq_length,kl_seq,kl_seq_se,n_kl_samples,gold,predicted_answer,answers,length,dataset,language,all_classes,_id,answer_prefix,task,max_new_tokens,primary_score,error
sampled,0,full,,full,50,22.14957046508789,5.840505240545868,1705.5750732421875,13.5,0.3206988470296066,4,4989,,,0,Other location,Type: Other location,['Other location'],3806,trec,en,"['Food', 'Date', 'Order, rank', 'Speed', 'Disease and medicine', 'Word with a special property', 'Abbreviation', 'Language', 'Letter like a-z', 'Other entity', 'Animal', 'Expression abbreviated', 'Price', 'Techniques and method', 'Musical instrument', 'Mountain', 'Currency name', 'Event', 'Product', 'State', 'Individual', 'Organ of body', 'Reason', 'Manner of an action', 'City', 'Religion', 'Invention, book and other creative piece', 'Distance, linear measure', 'Temperature', 'Postcode or other code', 'Size, area and volume', 'Sport', 'Country', 'Other location', 'Lasting time of somethin', 'Equivalent term', 'Description of something', 'Weight', 'Vehicle', 'Color', 'Other number', 'Definition of something', 'Element and substance', 'Description of a person', 'Symbols and sign', 'Number of something', 'Plant', 'Percent, fraction', 'Group or organization of person', 'Title of a person']",bb86302b1936b14c09091143ce6e0d4d4013c4789ece0230,Type:,trec,84,1.0,0.0
sampled,0,compressed,0.25,compressed@0.25,50,12.45075511932373,3.940472588250044,776.3662109375,12.699999809265137,0.5068481757313517,4,3741,6.317156791687012,1.3071523077903808,50,Other location,Type: Other location,['Other location'],3806,trec,en,"['Food', 'Date', 'Order, rank', 'Speed', 'Disease and medicine', 'Word with a special property', 'Abbreviation', 'Language', 'Letter like a-z', 'Other entity', 'Animal', 'Expression abbreviated', 'Price', 'Techniques and method', 'Musical instrument', 'Mountain', 'Currency name', 'Event', 'Product', 'State', 'Individual', 'Organ of body', 'Reason', 'Manner of an action', 'City', 'Religion', 'Invention, book and other creative piece', 'Distance, linear measure', 'Temperature', 'Postcode or other code', 'Size, area and volume', 'Sport', 'Country', 'Other location', 'Lasting time of somethin', 'Equivalent term', 'Description of something', 'Weight', 'Vehicle', 'Color', 'Other number', 'Definition of something', 'Element and substance', 'Description of a person', 'Symbols and sign', 'Number of something', 'Plant', 'Percent, fraction', 'Group or organization of person', 'Title of a person']",bb86302b1936b14c09091143ce6e0d4d4013c4789ece0230,Type:,trec,84,1.0,0.0
sampled,0,compressed,0.5,compressed@0.5,50,23.25253295898437,5.026552057418435,1263.311279296875,20.03999900817871,0.447417596836947,4,2494,8.209549903869629,2.3331388701285416,50,Other location,Type: Other location,['Other location'],3806,trec,en,"['Food', 'Date', 'Order, rank', 'Speed', 'Disease and medicine', 'Word with a special property', 'Abbreviation', 'Language', 'Letter like a-z', 'Other entity', 'Animal', 'Expression abbreviated', 'Price', 'Techniques and method', 'Musical instrument', 'Mountain', 'Currency name', 'Event', 'Product', 'State', 'Individual', 'Organ of body', 'Reason', 'Manner of an action', 'City', 'Religion', 'Invention, book and other creative piece', 'Distance, linear measure', 'Temperature', 'Postcode or other code', 'Size, area and volume', 'Sport', 'Country', 'Other location', 'Lasting time of somethin', 'Equivalent term', 'Description of something', 'Weight', 'Vehicle', 'Color', 'Other number', 'Definition of something', 'Element and substance', 'Description of a person', 'Symbols and sign', 'Number of something', 'Plant', 'Percent, fraction', 'Group or organization of person', 'Title of a person']",bb86302b1936b14c09091143ce6e0d4d4013c4789ece0230,Type:,trec,84,1.0,0.0
sampled,0,compressed,0.75,compressed@0.75,50,30.46001243591309,5.257752367783928,1382.197998046875,22.559999465942383,0.3922436802608778,3,1247,10.441227912902832,2.6900004265653705,50,Other location,Type: Location,['Other location'],3806,trec,en,"['Food', 'Date', 'Order, rank', 'Speed', 'Disease and medicine', 'Word with a special property', 'Abbreviation', 'Language', 'Letter like a-z', 'Other entity', 'Animal', 'Expression abbreviated', 'Price', 'Techniques and method', 'Musical instrument', 'Mountain', 'Currency name', 'Event', 'Product', 'State', 'Individual', 'Organ of body', 'Reason', 'Manner of an action', 'City', 'Religion', 'Invention, book and other creative piece', 'Distance, linear measure', 'Temperature', 'Postcode or other code', 'Size, area and volume', 'Sport', 'Country', 'Other location', 'Lasting time of somethin', 'Equivalent term', 'Description of something', 'Weight', 'Vehicle', 'Color', 'Other number', 'Definition of something', 'Element and substance', 'Description of a person', 'Symbols and sign', 'Number of something', 'Plant', 'Percent, fraction', 'Group or organization of person', 'Title of a person']",bb86302b1936b14c09091143ce6e0d4d4013c4789ece0230,Type:,trec,84,0.0,1.0
sampled,0,compressed,0.95,compressed@0.95,50,54.62722396850586,5.8539818930285605,1713.4552001953125,36.93999862670898,0.358784734417047,62,249,18.14070701599121,3.3820815102236783,50,Other location,"Type: Location

Category: Geography

Subcategory: Places

Specific Topic: Golf courses in the United States

This question is asking for a specific location, which is the first golf course in the United States. The answer would be a city or state, and it would be a factual piece of information.",['Other location'],3806,trec,en,"['Food', 'Date', 'Order, rank', 'Speed', 'Disease and medicine', 'Word with a special property', 'Abbreviation', 'Language', 'Letter like a-z', 'Other entity', 'Animal', 'Expression abbreviated', 'Price', 'Techniques and method', 'Musical instrument', 'Mountain', 'Currency name', 'Event', 'Product', 'State', 'Individual', 'Organ of body', 'Reason', 'Manner of an action', 'City', 'Religion', 'Invention, book and other creative piece', 'Distance, linear measure', 'Temperature', 'Postcode or other code', 'Size, area and volume', 'Sport', 'Country', 'Other location', 'Lasting time of somethin', 'Equivalent term', 'Description of something', 'Weight', 'Vehicle', 'Color', 'Other number', 'Definition of something', 'Element and substance', 'Description of a person', 'Symbols and sign', 'Number of something', 'Plant', 'Percent, fraction', 'Group or organization of person', 'Title of a person']",bb86302b1936b14c09091143ce6e0d4d4013c4789ece0230,Type:,trec,84,0.0,1.0
sampled,1,full,,full,50,7.576243877410889,3.0764891949430866,473.2392883300781,6.739999771118164,0.4587970966421066,3,10228,,,0,Individual,Type: Individual,['Individual'],7727,trec,en,"['Food', 'Date', 'Order, rank', 'Speed', 'Disease and medicine', 'Word with a special property', 'Abbreviation', 'Language', 'Letter like a-z', 'Other entity', 'Animal', 'Expression abbreviated', 'Price', 'Techniques and method', 'Musical instrument', 'Mountain', 'Currency name', 'Event', 'Product', 'State', 'Individual', 'Organ of body', 'Reason', 'Manner of an action', 'City', 'Religion', 'Invention, book and other creative piece', 'Distance, linear measure', 'Temperature', 'Postcode or other code', 'Size, area and volume', 'Sport', 'Country', 'Other location', 'Lasting time of somethin', 'Equivalent term', 'Description of something', 'Weight', 'Vehicle', 'Color', 'Other number', 'Definition of something', 'Element and substance', 'Description of a person', 'Symbols and sign', 'Number of something', 'Plant', 'Percent, fraction', 'Group or organization of person', 'Title of a person']",be63e2d9490453d1b939ba8f850a386c7828f776df937d8c,Type:,trec,84,1.0,0.0
sampled,1,compressed,0.25,compressed@0.25,50,8.480295181274414,2.9328192636110075,430.0714416503906,8.5,0.5008040766346222,3,7671,1.9080480337142944,0.6765046480389912,50,Individual,Type: Individual,['Individual'],7727,trec,en,"['Food', 'Date', 'Order, rank', 'Speed', 'Disease and medicine', 'Word with a special property', 'Abbreviation', 'Language', 'Letter like a-z', 'Other entity', 'Animal', 'Expression abbreviated', 'Price', 'Techniques and method', 'Musical instrument', 'Mountain', 'Currency name', 'Event', 'Product', 'State', 'Individual', 'Organ of body', 'Reason', 'Manner of an action', 'City', 'Religion', 'Invention, book and other creative piece', 'Distance, linear measure', 'Temperature', 'Postcode or other code', 'Size, area and volume', 'Sport', 'Country', 'Other location', 'Lasting time of somethin', 'Equivalent term', 'Description of something', 'Weight', 'Vehicle', 'Color', 'Other number', 'Definition of something', 'Element and substance', 'Description of a person', 'Symbols and sign', 'Number of something', 'Plant', 'Percent, fraction', 'Group or organization of person', 'Title of a person']",be63e2d9490453d1b939ba8f850a386c7828f776df937d8c,Type:,trec,84,1.0,0.0
sampled,1,compressed,0.5,compressed@0.5,50,26.774301528930664,5.800048827919468,1682.0283203125,16.579999923706055,0.3264976806997396,3,5114,3.1943953037261963,0.9595183324449053,50,Individual,Type: Individual,['Individual'],7727,trec,en,"['Food', 'Date', 'Order, rank', 'Speed', 'Disease and medicine', 'Word with a special property', 'Abbreviation', 'Language', 'Letter like a-z', 'Other entity', 'Animal', 'Expression abbreviated', 'Price', 'Techniques and method', 'Musical instrument', 'Mountain', 'Currency name', 'Event', 'Product', 'State', 'Individual', 'Organ of body', 'Reason', 'Manner of an action', 'City', 'Religion', 'Invention, book and other creative piece', 'Distance, linear measure', 'Temperature', 'Postcode or other code', 'Size, area and volume', 'Sport', 'Country', 'Other location', 'Lasting time of somethin', 'Equivalent term', 'Description of something', 'Weight', 'Vehicle', 'Color', 'Other number', 'Definition of something', 'Element and substance', 'Description of a person', 'Symbols and sign', 'Number of something', 'Plant', 'Percent, fraction', 'Group or organization of person', 'Title of a person']",be63e2d9490453d1b939ba8f850a386c7828f776df937d8c,Type:,trec,84,1.0,0.0
sampled,1,compressed,0.75,compressed@0.75,50,35.5386848449707,6.878368847903731,2365.597900390625,21.71999931335449,0.3216983781761917,3,2557,4.453063011169434,1.154786209202744,50,Individual,Type: Individual,['Individual'],7727,trec,en,"['Food', 'Date', 'Order, rank', 'Speed', 'Disease and medicine', 'Word with a special property', 'Abbreviation', 'Language', 'Letter like a-z', 'Other entity', 'Animal', 'Expression abbreviated', 'Price', 'Techniques and method', 'Musical instrument', 'Mountain', 'Currency name', 'Event', 'Product', 'State', 'Individual', 'Organ of body', 'Reason', 'Manner of an action', 'City', 'Religion', 'Invention, book and other creative piece', 'Distance, linear measure', 'Temperature', 'Postcode or other code', 'Size, area and volume', 'Sport', 'Country', 'Other location', 'Lasting time of somethin', 'Equivalent term', 'Description of something', 'Weight', 'Vehicle', 'Color', 'Other number', 'Definition of something', 'Element and substance', 'Description of a person', 'Symbols and sign', 'Number of something', 'Plant', 'Percent, fraction', 'Group or organization of person', 'Title of a person']",be63e2d9490453d1b939ba8f850a386c7828f776df937d8c,Type:,trec,84,1.0,0.0
sampled,1,compressed,0.95,compressed@0.95,50,58.98992919921875,6.691131461447682,2238.56201171875,31.559999465942383,0.273737322633091,26,511,14.688715934753418,1.471788381955696,50,Individual,"Type: Person's title 

This question is asking for the name of John F. Kennedy's wife, which is Jacqueline Kennedy.",['Individual'],7727,trec,en,"['Food', 'Date', 'Order, rank', 'Speed', 'Disease and medicine', 'Word with a special property', 'Abbreviation', 'Language', 'Letter like a-z', 'Other entity', 'Animal', 'Expression abbreviated', 'Price', 'Techniques and method', 'Musical instrument', 'Mountain', 'Currency name', 'Event', 'Product', 'State', 'Individual', 'Organ of body', 'Reason', 'Manner of an action', 'City', 'Religion', 'Invention, book and other creative piece', 'Distance, linear measure', 'Temperature', 'Postcode or other code', 'Size, area and volume', 'Sport', 'Country', 'Other location', 'Lasting time of somethin', 'Equivalent term', 'Description of something', 'Weight', 'Vehicle', 'Color', 'Other number', 'Definition of something', 'Element and substance', 'Description of a person', 'Symbols and sign', 'Number of something', 'Plant', 'Percent, fraction', 'Group or organization of person', 'Title of a person']",be63e2d9490453d1b939ba8f850a386c7828f776df937d8c,Type:,trec,84,0.0,1.0
sampled,2,full,,full,50,15.231443405151367,4.272472897304689,912.7012329101562,10.279999732971191,0.3580770692691723,3,5510,,,0,Color,Type: Color,['Color'],4183,trec,en,"['Food', 'Date', 'Order, rank', 'Speed', 'Disease and medicine', 'Word with a special property', 'Abbreviation', 'Language', 'Letter like a-z', 'Other entity', 'Animal', 'Expression abbreviated', 'Price', 'Techniques and method', 'Musical instrument', 'Mountain', 'Currency name', 'Event', 'Product', 'State', 'Individual', 'Organ of body', 'Reason', 'Manner of an action', 'City', 'Religion', 'Invention, book and other creative piece', 'Distance, linear measure', 'Temperature', 'Postcode or other code', 'Size, area and volume', 'Sport', 'Country', 'Other location', 'Lasting time of somethin', 'Equivalent term', 'Description of something', 'Weight', 'Vehicle', 'Color', 'Other number', 'Definition of something', 'Element and substance', 'Description of a person', 'Symbols and sign', 'Number of something', 'Plant', 'Percent, fraction', 'Group or organization of person', 'Title of a person']",1e8eb08f71a04cd4391fcaa7d98a166627d65284c467a318,Type:,trec,84,1.0,0.0
sampled,2,compressed,0.25,compressed@0.25,50,36.65993118286133,7.0198483946859564,2463.91357421875,20.399999618530277,0.2877613047945227,3,4132,5.555192947387695,2.080414035377033,50,Color,Type: Color,['Color'],4183,trec,en,"['Food', 'Date', 'Order, rank', 'Speed', 'Disease and medicine', 'Word with a special property', 'Abbreviation', 'Language', 'Letter like a-z', 'Other entity', 'Animal', 'Expression abbreviated', 'Price', 'Techniques and method', 'Musical instrument', 'Mountain', 'Currency name', 'Event', 'Product', 'State', 'Individual', 'Organ of body', 'Reason', 'Manner of an action', 'City', 'Religion', 'Invention, book and other creative piece', 'Distance, linear measure', 'Temperature', 'Postcode or other code', 'Size, area and volume', 'Sport', 'Country', 'Other location', 'Lasting time of somethin', 'Equivalent term', 'Description of something', 'Weight', 'Vehicle', 'Color', 'Other number', 'Definition of something', 'Element and substance', 'Description of a person', 'Symbols and sign', 'Number of something', 'Plant', 'Percent, fraction', 'Group or organization of person', 'Title of a person']",1e8eb08f71a04cd4391fcaa7d98a166627d65284c467a318,Type:,trec,84,1.0,0.0
