regime,task_id,kv_caching,ratio,config_label,n_mc_samples,H_bits,se_bits,varentropy_bits,mean_length,confidence,greedy_length,cache_seq_length,gold,predicted_answer,answers,length,dataset,language,all_classes,_id,answer_prefix,task,max_new_tokens,primary_score,error,correct
sampled,0,full,,full,50,24.75138092041016,7.264314397923248,2638.51318359375,16.18000030517578,0.3463369988586001,6,1079,Miller v. California,Gates v. Collier,['Miller v. California'],8616,hotpotqa,en,,fc6267db9ba02bbb251960231bc87251c581110e4e2b5f3f,Answer:,hotpotqa,52,0.3333,0.6667000000000001,0
sampled,0,compressed,0.25,compressed@0.25,50,19.52816390991211,4.057425466476942,823.1350708007812,21.07999992370605,0.5261756922400581,6,809,Miller v. California,Gates v. Collier,['Miller v. California'],8616,hotpotqa,en,,fc6267db9ba02bbb251960231bc87251c581110e4e2b5f3f,Answer:,hotpotqa,52,0.3333,0.6667000000000001,0
sampled,0,compressed,0.75,compressed@0.75,50,16.728801727294922,4.84207708005756,1172.2855224609375,16.719999313354492,0.499817575137463,6,269,Miller v. California,Gates v. Collier,['Miller v. California'],8616,hotpotqa,en,,fc6267db9ba02bbb251960231bc87251c581110e4e2b5f3f,Answer:,hotpotqa,52,0.3333,0.6667000000000001,0
sampled,1,full,,full,50,1.5266714096069336,0.1266848973071336,0.8024531602859497,4.519999980926514,0.7912693806778454,3,1104,Charles L. Clifford,David Niven,['Charles L. Clifford'],11525,hotpotqa,en,,d542fcd45bbf5112eee9127f04ae060a887c8ef2050aa160,Answer:,hotpotqa,52,0.0,1.0,0
sampled,1,compressed,0.25,compressed@0.25,50,6.3458428382873535,3.520584002512935,619.7255859375,5.159999847412109,0.42637225200059,3,828,Charles L. Clifford,David Niven,['Charles L. Clifford'],11525,hotpotqa,en,,d542fcd45bbf5112eee9127f04ae060a887c8ef2050aa160,Answer:,hotpotqa,52,0.0,1.0,0
sampled,1,compressed,0.75,compressed@0.75,50,25.00720596313477,7.673172624475485,2943.87890625,11.81999969482422,0.23073856804565,3,276,Charles L. Clifford,David Niven,['Charles L. Clifford'],11525,hotpotqa,en,,d542fcd45bbf5112eee9127f04ae060a887c8ef2050aa160,Answer:,hotpotqa,52,0.0,1.0,0
sampled,2,full,,full,50,10.963960647583008,1.725821567546255,148.92300415039062,6.179999828338623,0.292375895652032,3,1082,Norman,Worcester,['Norman'],11935,hotpotqa,en,,cb9214532284b8202912b1b75592832daef0b109593185a0,Answer:,hotpotqa,52,0.0,1.0,0
sampled,2,compressed,0.25,compressed@0.25,50,23.600839614868164,5.250847448344053,1378.5699462890625,11.139999389648438,0.2302754613472895,3,811,Norman,Worcester,['Norman'],11935,hotpotqa,en,,cb9214532284b8202912b1b75592832daef0b109593185a0,Answer:,hotpotqa,52,0.0,1.0,0
sampled,2,compressed,0.75,compressed@0.75,50,13.891886711120604,1.9051130062036343,181.4727783203125,6.659999847412109,0.2355542179461637,3,270,Norman,Wichita,['Norman'],11935,hotpotqa,en,,cb9214532284b8202912b1b75592832daef0b109593185a0,Answer:,hotpotqa,52,0.0,1.0,0
sampled,3,full,,full,50,9.24125862121582,2.154987175498384,232.198486328125,8.739999771118164,0.4805131187377077,2,1083,Sun,Jupiter,['Sun'],11879,hotpotqa,en,,105e7f4d337799315ddf870acc4ff2a62a1e6cdf489086cd,Answer:,hotpotqa,52,0.0,1.0,0
sampled,3,compressed,0.25,compressed@0.25,50,7.22898006439209,2.284224302484872,260.884033203125,7.419999599456787,0.5090022262301356,2,812,Sun,Jupiter,['Sun'],11879,hotpotqa,en,,105e7f4d337799315ddf870acc4ff2a62a1e6cdf489086cd,Answer:,hotpotqa,52,0.0,1.0,0
sampled,3,compressed,0.75,compressed@0.75,50,9.083593368530272,3.415978795720562,583.445556640625,6.539999961853027,0.3818482556758197,2,270,Sun,Jupiter,['Sun'],11879,hotpotqa,en,,105e7f4d337799315ddf870acc4ff2a62a1e6cdf489086cd,Answer:,hotpotqa,52,0.0,1.0,0
sampled,4,full,,full,50,14.868810653686523,1.508566187523329,113.7885971069336,14.920000076293944,0.5011904825450921,14,1075,erotic thriller film,No information is available about Atom Egoyan in the given passages.,['erotic thriller film'],9865,hotpotqa,en,,5ff08452b84748458e71d82a6d387599969311fd61cd8fd1,Answer:,hotpotqa,52,0.0,1.0,0
sampled,4,compressed,0.25,compressed@0.25,50,22.173120498657227,2.340176572740092,273.8213195800781,19.0,0.4453444915910629,23,806,erotic thriller film,No information is available about Atom Egoyan's biggest commercial success on stage or on film in the provided passages.,['erotic thriller film'],9865,hotpotqa,en,,5ff08452b84748458e71d82a6d387599969311fd61cd8fd1,Answer:,hotpotqa,52,0.09519999999999999,0.9048,0
sampled,4,compressed,0.75,compressed@0.75,50,24.02047538757324,3.1353873263958056,491.5326843261719,21.13999938964844,0.4549383153934723,19,268,erotic thriller film,No information is provided about Atom Egoyan's biggest commercial success on stage or on film.,['erotic thriller film'],9865,hotpotqa,en,,5ff08452b84748458e71d82a6d387599969311fd61cd8fd1,Answer:,hotpotqa,52,0.11109999999999999,0.8889,0
sampled,5,full,,full,50,3.4153153896331787,0.2040858504530962,2.0825517177581787,4.079999923706055,0.5597726390627432,3,1083,Parliament,Parliament.,['Parliament'],10034,hotpotqa,en,,97b31d6d7a9137c220726ad51a6dca3e957e2c94ce5e65b8,Answer:,hotpotqa,52,1.0,0.0,1
sampled,5,compressed,0.25,compressed@0.25,50,3.795738458633423,0.3809147721129906,7.25480318069458,4.179999828338623,0.5328969786488013,3,812,Parliament,Parliament.,['Parliament'],10034,hotpotqa,en,,97b31d6d7a9137c220726ad51a6dca3e957e2c94ce5e65b8,Answer:,hotpotqa,52,1.0,0.0,1
sampled,5,compressed,0.75,compressed@0.75,50,3.409031867980957,0.2205136942860369,2.431314468383789,3.799999952316284,0.5369599295834163,2,270,Parliament,Parliament,['Parliament'],10034,hotpotqa,en,,97b31d6d7a9137c220726ad51a6dca3e957e2c94ce5e65b8,Answer:,hotpotqa,52,1.0,0.0,1
sampled,6,full,,full,50,12.393263816833496,1.4518017853936762,105.38642120361328,9.119999885559082,0.3898765999015428,16,1076,Tharangambadi,No information is available about Thirukkalacherry in the given passages.,['Tharangambadi'],9438,hotpotqa,en,,11a7ad9d646184c16480376226d58f1b2754b095563c8344,Answer:,hotpotqa,52,0.0,1.0,0
sampled,6,compressed,0.25,compressed@0.25,50,15.594728469848633,1.8376350197523752,168.84512329101562,15.619999885559082,0.5005610309408942,16,807,Tharangambadi,No information is available about Thirukkalacherry in the given text.,['Tharangambadi'],9438,hotpotqa,en,,11a7ad9d646184c16480376226d58f1b2754b095563c8344,Answer:,hotpotqa,52,0.0,1.0,0
sampled,6,compressed,0.75,compressed@0.75,50,19.491703033447266,3.8085528042670784,725.2537231445312,14.839999198913574,0.4023555526817574,12,269,Tharangambadi,No information is available about Thirukkalacherry.,['Tharangambadi'],9438,hotpotqa,en,,11a7ad9d646184c16480376226d58f1b2754b095563c8344,Answer:,hotpotqa,52,0.0,1.0,0
sampled,7,full,,full,50,1.2321183681488037,0.3506758295706568,6.148676872253418,4.480000019073486,0.8264351829511357,3,1077,Pleiospilos,Pueraria,['Pleiospilos'],1267,hotpotqa,en,,3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,Answer:,hotpotqa,52,0.0,1.0,0
sampled,7,compressed,0.25,compressed@0.25,50,4.444045543670654,1.4554720523815192,105.9199447631836,6.339999675750732,0.6151654597731148,3,807,Pleiospilos,Pueraria,['Pleiospilos'],1267,hotpotqa,en,,3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,Answer:,hotpotqa,52,0.0,1.0,0
sampled,7,compressed,0.75,compressed@0.75,50,3.136906147003174,1.2004836697180703,72.05805206298828,6.179999828338623,0.7033964666662739,3,269,Pleiospilos,Pueraria,['Pleiospilos'],1267,hotpotqa,en,,3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,Answer:,hotpotqa,52,0.0,1.0,0
sampled,8,full,,full,50,7.435399532318115,4.510558901240787,1017.257080078125,4.339999675750732,0.3049773843808035,2,1095,2013,2013,['2013'],7877,hotpotqa,en,,f039fe9cc81a0a312f9899beca2fe26b710bf8c3aa23a4d9,Answer:,hotpotqa,52,1.0,0.0,1
sampled,8,compressed,0.25,compressed@0.25,50,7.96386194229126,3.0375727389695952,461.3424072265625,6.759999752044678,0.441937379951365,2,821,2013,2013,['2013'],7877,hotpotqa,en,,f039fe9cc81a0a312f9899beca2fe26b710bf8c3aa23a4d9,Answer:,hotpotqa,52,1.0,0.0,1
