regime,task_id,kv_caching,ratio,config_label,n_mc_samples,H_seq,H_seq_se,varentropy_seq,mean_length,confidence,greedy_length,cache_seq_length,kl_seq,kl_seq_se,n_kl_samples,gold,predicted_answer
sampled,0,full,,full,50,22.619409561157227,5.377436538953179,1445.8411865234375,14.5,0.33916065349395147,4,4989,,,0,Other location,Type: Other location
sampled,0,compressed,0.25,compressed@0.25,50,19.35991096496582,5.535868040419452,1532.291748046875,14.819999694824219,0.4043462669565922,4,3741,6.897231101989746,1.2579948188905503,50,Other location,Type: Other location
sampled,0,compressed,0.5,compressed@0.5,50,22.991971969604492,5.260423525160546,1383.602783203125,19.139999389648438,0.4348975553931367,4,2494,9.143285751342773,2.3871191869480066,50,Other location,Type: Other location
sampled,0,compressed,0.75,compressed@0.75,50,21.726741790771484,3.6228126819524666,656.2385864257812,18.69999885559082,0.44693659311690603,3,1247,12.118274688720703,2.6826022777274963,50,Other location,Type: Location
sampled,0,compressed,0.95,compressed@0.95,50,60.13967514038086,4.901605086282961,1201.28662109375,44.05999755859375,0.38824800506658,64,249,20.00886344909668,3.3821861790281997,50,Other location,"Type: Location

Category: Geography

Subcategory: Places

Specific Topic: Golf courses in the United States

This question is asking for a specific location, which is the first golf course in the United States. The answer would be a city or a state, and it would be a factual piece of information."
sampled,1,full,,full,50,3.571903705596924,1.5239323114697076,116.11848449707031,5.199999809265137,0.6211852222693485,3,10228,,,0,Individual,Type: Individual
sampled,1,compressed,0.25,compressed@0.25,50,11.979719161987305,3.404401017662652,579.497314453125,11.25999927520752,0.4783311689407361,3,7671,1.2591187953948975,0.3560583435640941,50,Individual,Type: Individual
sampled,1,compressed,0.5,compressed@0.5,50,28.86037826538086,6.002838683958199,1801.70361328125,18.479999542236328,0.3387496066691099,3,5114,2.1948673725128174,0.45895133690934914,50,Individual,Type: Individual
sampled,1,compressed,0.75,compressed@0.75,50,45.973777770996094,6.386481694759643,2039.357421875,31.34000015258789,0.3617497413742253,3,2557,3.251095771789551,0.5588759599070368,50,Individual,Type: Individual
sampled,1,compressed,0.95,compressed@0.95,50,48.18863296508789,5.729301229480346,1641.24462890625,27.559999465942383,0.29761124471277545,26,511,13.318286895751953,0.6112069318767734,50,Individual,"Type: Person's title 

This question is asking for the name of John F. Kennedy's wife, which is Jacqueline Kennedy."
